Counter_Type,Counter_Height,Dome,Section,Meter,Sample,Formation,Group,Composite_Height,Use,Microanalysis_Type,Facies,WaterDepth,Min,d13C,d18O,d13Corg,CAP13C,d34SCAS,d34Spy,Dd34S,TOC,Pyrite,SO4,Ca44_40,Ca44_42,Ca44_43,d26Mg,d25Mg,Mn_ppm,Sr_ppm,Fe_ppm,Na_ppm,Mg_ppm,Al_ppm,P_ppm,S_ppm,K_ppm,Ca_ppm,Ti_ppm,Li_ppm,Be_ppm,B_ppm,Sc_ppm,V_ppm,Cr_ppm,Ba_ppm,Cd_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,Y_ppm,Zr_ppm,Mg_MgCa,Sr_Ca_mmol_mol,Mg_Ca_mmol_mol,Mn_Ca_mmol_mol,U_Ca_mmol_mol,Mn_Sr_mmol_mol,Mn_Sr_ppm,Al_Acetic_ppm,Ca_Acetic,Fe_Acetic_ppm,K_Acetic_ppm,Mg_Acetic_ppm,Mn_Acetic_ppm,Na_Acetic_ppm,S_Acetic_ppm,Sr_Acetic_ppm,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower,Data_Reference,Published
1326,,MD,MD6,7.1,MD6_7.1,Khufai,pre,7.1,0,,,,CA,4.49,-6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1390,,GSB,MQT,4140,MQT_4140,M. Bay,pre,8,0,,dolomaceous shale,,DL,2.96,-6.37,,,24.30896961,17.01902307,7.289946539,0.1627,0.562030469,,,,,,,584.457,145.415,3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.019234604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes
1327,,MD,MD6,9.1,MD6_9.1,Khufai,pre,9.1,0,,,,CA,4.21,-6.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1211,,KD,KDS,-0.8,KDS_-0.8,Khufai,pre,9.2,0,,,,CA,3.51,-1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
463,,SOSB,TM6,2880,TM6_2880,Khufai,pre,9.675,0,,,,CA,4.61,-8.34,-31.22,35.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes
1328,,MD,MD6,10,MD6_K2_10,CementBurial,CementBurial,10,0,,,3,CA,4.59,-9.03,,,,,,,,,-1.111584265,-0.146657135,-0.080261444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284827328,59.8659173,268.6643807,0.421125465,0.943253522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busch_2022,Yes
1329,,MD,MD6,10.2,MD6_K1_10,CementBurial,CementBurial,10.2,0,,,3,CA,3.28,-9.19,,,,,,,,,-1.263844188,-0.261909649,-0.124075506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427902941,7.974369472,29.96465234,0.280538355,0.07002675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busch_2022,Yes
1212,,KD,KDS,0.5,KDS_0.5,Khufai,pre,10.5,0,,,,CA,4.09,-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1213,,KD,KDS,1.5,KDS_1.5,Khufai,pre,11.5,0,,,,CA,4.45,-4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1330,,MD,MD6,12.4,MD6_12.4,Khufai,pre,12.4,0,,,,CA,4.35,-6.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1214,,KD,KDS,2.5,KDS_2.5,Khufai,pre,12.5,0,,,,CA,3.8,-4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1331,,MD,MD6,14.2,MD6_14.2,Khufai,pre,14.2,0,,,,CA,4.57,-6.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1215,,KD,KDS,4.3,KDS_4.3,Khufai,pre,14.3,0,,,,CA,3.85,-5.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1216,,KD,KDS,5.5,KDS_5.5,Khufai,pre,15.5,0,,,,CA,3.29,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1217,,KD,KDS,5.7,KDS_5.7,Khufai,pre,15.7,0,,,,CA,3.44,-5.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1332,,MD,MD6,15.7,MD6_15.7,Khufai,pre,15.7,0,,,,CA,4.43,-6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1333,,MD,MD6,17,MD6_17,Khufai,pre,17,0,,,,CA,4.25,-7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1218,,KD,KDS,7.4,KDS_7.4,Khufai,pre,17.4,0,,,,CA,3.92,-6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
648,,KD,KDS,8.9,KDS_8.9,Khufai,pre,18.9,0,,,,CA,3.83,-5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
937,,MD,MD6,20,MD6_20,Khufai,pre,20,0,,,,CA,4.44,-6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
473,,KD,KDS,11.3,KDS_11.3,Khufai,pre,21.3,0,,,,CA,3.6,-5.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1334,,MD,MD6,22,MD6_22,Khufai,pre,22,0,,,,CA,4.2,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
474,,KD,KDS,12.7,KDS_12.7,Khufai,pre,22.7,0,,,,CA,3.97,-5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
649,,KD,KDS,13.8,KDS_13.8,Khufai,pre,23.8,0,,,,CA,4.03,-5.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
650,,KD,KDS,14.7,KDS_14.7,Khufai,pre,24.7,0,,,,CA,4.16,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
190,,MD,MD6,25.5,MD6_25.5,Khufai,pre,25.5,0,,,,CA,2.93,-7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1219,,KD,KDS,15.7,KDS_15.7,Khufai,pre,25.7,0,,,,CA,4.18,-5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
651,,KD,KDS,17,KDS_17,Khufai,pre,27,0,,,,CA,3.29,-5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
74,,GSB,MQT,4120,MQT_4120,M. Bay,pre,28,0,,silty limestone,,CA,5.83,-4.62,-28.603,34.44,23.14477,12.09462542,11.05014458,0.4258,0.931445,460,,,,,,1280,328.279,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.899122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes
1220,,KD,KDS,18.9,KDS_18.9,Khufai,pre,28.9,0,,,,CA,4.49,-6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
938,,MD,MD6,29,MD6_29,Khufai,pre,29,0,,,,CA,3.83,-6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
652,,KD,KDS,20,KDS_20,Khufai,pre,30,0,,,,CA,4.44,-6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
653,,KD,KDS,20.7,KDS_20.7,Khufai,pre,30.7,0,,,,CA,4.49,-6.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
654,,KD,KDS,21.8,KDS_21.8,Khufai,pre,31.8,0,,,,CA,4.67,-5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1221,,KD,KDS,22.8,KDS_22.8,Khufai,pre,32.8,0,,,,CA,4.68,-5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
939,,MD,MD6,33.5,MD6_33.5,Khufai,pre,33.5,0,,,,CA,4.05,-6.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1222,,KD,KDS,23.9,KDS_23.9,Khufai,pre,33.9,0,,,,CA,3.77,-5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
462,,SOSB,TM6,2875,TM6_2875,Khufai,pre,34.4,0,,,,CA,4.54,-8.88,-31.98,36.52,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee_2015, Lee_thesis",Yes
655,,KD,KDS,24.9,KDS_24.9,Khufai,pre,34.9,0,,,,CA,4.64,-5.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
656,,KD,KDS,26.9,KDS_26.9,Khufai,pre,36.9,0,,,,CA,5.14,-5.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
950,,GSB,MQT,4110,MQT_4110,M. Bay,pre,38,0,,limestone,,CA,6.58,-5.85,-28.51166667,35.09,21.93466776,10.70140537,11.23326239,0.4644,1.1905125,150,,,,,,454.057,420.21,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.080547821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes
1223,,KD,KDS,28.3,KDS_28.3,Khufai,pre,38.3,0,,,,CA,4.71,-5.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1616,,MD,MD6,38.3,MD6_38.3,Khufai,pre,38.3,0,,,,CA,4.1,-7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
257,,KD,KDS,29.8,KDS_29.8,Khufai,pre,39.8,0,,,,CA,4.78,-5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
657,,KD,KDS,31.1,KDS_31.1,Khufai,pre,41.1,0,,,,CA,5.43,-6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
555,,MD,MD6,42.2,MD6_42.2,Khufai,pre,42.2,0,,,,CA,4.16,-6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1224,,KD,KDS,32.5,KDS_32.5,Khufai,pre,42.5,0,,,,CA,3.85,-5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
658,,KD,KDS,33.4,KDS_33.4,Khufai,pre,43.4,0,,,,CA,4.93,-5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
659,,KD,KDS,34.6,KDS_34.6,Khufai,pre,44.6,0,,,,CA,2.38,-6.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
660,,KD,KDS,36.1,KDS_36.1,Khufai,pre,46.1,0,,,,CA,4.91,-6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1335,,MD,MD6,46.1,MD6_46.1,Khufai,pre,46.1,0,,,,CA,3.34,-6.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
1225,,KD,KDS,37.1,KDS_37.1,Khufai,pre,47.1,0,,,,CA,5.45,-4.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
951,,GSB,MQT,4100,MQT_4100,M. Bay,pre,48,0,,silty limestone,,CA,5.05,-4,,,18.57849071,5.793528341,12.78496237,0.43935,1.139971875,150,,,,,,468.588,343.807,1641.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.362939091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes
661,,KD,KDS,38.4,KDS_38.4,Khufai,pre,48.4,0,,,,CA,5.21,-6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
940,,MD,MD6,49.6,MD6_49.6,Khufai,pre,49.6,0,,,,CA,4.35,-6.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
662,,KD,KDS,40.3,KDS_40.3,Khufai,pre,50.3,0,,,,CA,5.54,-5.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,this study,No
